Dose	Time	Nitrite
0	0	11.45
0	0	11.45
0	0	11.45
1	0	11.45
1	0	11.45
1	0	11.45
0.5	0	11.45
0.5	0	11.45
0.5	0	11.45
0.2	0	11.45
0.2	0	11.45
0.2	0	11.45
0.1	0	11.45
0.1	0	11.45
0.1	0	11.45
0	4.5	237.30
0	4.5	240.90
0	4.5	235.20
1	4.5	42.61
1	4.5	70.22
1	4.5	94.54
0.5	4.5	122.20
0.5	4.5	130.00
0.5	4.5	131.40
0.2	4.5	180.40
0.2	4.5	185.00
0.2	4.5	185.60
0.1	4.5	211.40
0.1	4.5	199.80
0.1	4.5	212.90
0	8.5	440.40
0	8.5	452.60
0	8.5	436.20
1	8.5	58.63
1	8.5	102.80
1	8.5	133.90
0.5	8.5	176.40
0.5	8.5	191.60
0.5	8.5	198.30
0.2	8.5	273.00
0.2	8.5	291.00
0.2	8.5	294.90
0.1	8.5	350.60
0.1	8.5	359.50
0.1	8.5	372.50
0	20	911.50
0	20	917.90
0	20	931.00
1	20	87.79
1	20	172.70
1	20	209.60
0.5	20	304.50
0.5	20	352.10
0.5	20	361.40
0.2	20	687.40
0.2	20	606.00
0.2	20	607.10
0.1	20	766.70
0.1	20	771.60
0.1	20	825.90




